Manchester City,Inglaterra,1.28
Manchester United,Inglaterra,2.46
Chelsea,Inglaterra,1.89
Spurs,Inglaterra,2.78
Liverpool,Inglaterra,2.12
Arsenal,Inglaterra,5.20
Barcelona,Espana,1.79
Real Madrid,Espana,1.10
Atletico de Madrid,Espana,2.07
Valencia,Espana,5.67
Sevilla,Espana,2.57
Villareal,Espana,3.26
Milan,Italia,2.16
Inter de Milan,Italia,2.45
Juventus,Italia,1.76
Roma,Italia,4.94
Lazio,Italia,4.49
Atalanta,Italia,3.21
PSG,Francia,1.35
Monaco,Francia,3.21
Lyon,Francia,4.36
Marselle,Francia,5.32
Bayern Munich,Alemania,1.23
Borussia Dortmund,Alemania,2.45
Bayer Leverkusen,Alemania,4.56
RB Leipzig,Alemania,3.24
Boca Juniors,Argentina,5.78
River Plate,Argentina,5.67
Universidad Catolica,Chile,7.89
Universidad de Chile,Chile,8.79
Colo Colo,Chile,8.57
Santiago Wanderers,Chile,9.10